customer_message,spotify_reply,clean_customer_message,intent,auto_or_escalate
@SpotifyCares I'm having trouble purchasing premium after receiving an offer for 3 mos/9.99. I would appreciate an email to reach out too. Thanks,"@267836 Hey there! Can you DM us your account's email address and username? We take a look backstage, or you can email us at __email__. We'll be waiting /AL https://t.co/ldFdZRiNAt",i m having trouble purchasing premium after receiving an offer for mos i would appreciate an email to reach out too thanks,Premium Billing,Escalate
@SpotifyCares please can you switch my USA account to be a UK account? username: ejweston *thank you!,"@235102 Hi Ella! For the security of your account, we'd like to help you out in private. Just shoot us a DM, and we'll carry on there 🙂 /KA https://t.co/ldFdZRiNAt",please can you switch my usa account to be a uk account username ejweston thank you,Account Access,Escalate
@SpotifyCares My email has been changed to a random one and I️ can’t access my Spotify Premium anymore. Been waiting on the email service to reply back for 7 hours.,"@252244 Hi there! We’re sorry to hear that. Check out https://t.co/iVpg60w61i for what to do next. If you've already reached out to our Accounts team via the contact form link, you should receive a reply soon. Let us know if there's anything else /AP",my email has been changed to a random one and i can t access my spotify premium anymore been waiting on the email service to reply back for hours,Premium Billing,Escalate
Need help recovering my spotify account. It is recognising my username but not my email address @SpotifyCares,@392329 Hey! We've just sent you a bit more info over DM /PB,need help recovering my spotify account it is recognising my username but not my email address,Account Access,Escalate
"@115888 Hello, can not log in for Marieke de Klaver, __email__ or __email__. She is paying every month for subscription but is not abel to login, she wants to quit. Bankaccount NL18RABO0305957228",@252500 Hey! We suggest deleting your previous tweet as it contains some payment info. Can you DM it to us instead using the link below? /NQ https://t.co/ldFdZRiNAt,hello can not log in for marieke de klaver email or email she is paying every month for subscription but is not abel to login she wants to quit bankaccount nl rabo,Login Issue,Auto
@116130 hi Im having trouble accepting the 99p for three months offer. I have been in a months trial offer and got an email offering three months for 99p. I have tried signing up to it using PayPal three times but it still says my account is the free one. Please help.,@221117 Hi Andy! We've just sent a DM your way. Let's carry on chatting there /AU,hi im having trouble accepting the p for three months offer i have been in a months trial offer and got an email offering three months for p i have tried signing up to it using paypal three times but it still says my account is the free one please help,Account Access,Escalate
@SpotifyCares I have local files that I want to play on Sp and They won't sync to my mobile device.,@180971 Can you try reinstalling the app on both your devices? Just follow the steps at https://t.co/EqisDMwZAT. Keep us posted /RH,i have local files that i want to play on sp and they won t sync to my mobile device,Playback Problem,Auto
"@SpotifyCares Spotify Connect promises so much..... but regardless how I try to connect to one pair of @118117 devices, I often have to reboot them. Tips?","@232380 Hey there, help's here! Could you send us a DM with your account's email address and username? We'll take a look backstage /JZ https://t.co/ldFdZRiNAt",spotify connect promises so much but regardless how i try to connect to one pair of devices i often have to reboot them tips,Device Sync,Auto
@SpotifyCares You are missing the point here. I have synced my local files over 5 years from different computers. There is no 1 computer I can go to and sync back the songs. I have lost really important music because of this.,"@343137 2: play them again on your iPhone. Not to worry, we'll pass on your feedback to the right team. Drop us a tweet if you need us again /MT",you are missing the point here i have synced my local files over years from different computers there is no computer i can go to and sync back the songs i have lost really important music because of this,Playlist Issue,Auto
@SpotifyCares Now seems I can use storage device to save. Bt the song I've been downloaded can't play offline. I hv to re-download. Where's all my songs?,"@165998 Just to check, what troubleshooting step/s did you do before it worked? /JP",now seems i can use storage device to save bt the song i ve been downloaded can t play offline i hv to re download where s all my songs,Playlist Issue,Auto
"@SpotifyCares Hi! All my downloaded albums/individual saved songs were deleted from my android device this morning. My playlists bar one seem to be unaffacted. It's happened few times before, I had to re-download everything.","@265854 Hi there, that's not cool! In any case, you can find more details that could help you out on that here: https://t.co/38J7tFlIBF. Hope this info helps. Let us know if you have other questions /GK",hi all my downloaded albums individual saved songs were deleted from my android device this morning my playlists bar one seem to be unaffacted it s happened few times before i had to re download everything,Playlist Issue,Auto
Hi @SpotifyCares - can't use Spotify Connect. Speaker shows in device list - selecting it does nothing. Previously working. Still works on iPhone 7. My devices: OnePlus 3T (Android 8) Sonos Play:1,@148645 Hey there! Can you let us know the exact Spotify version running on your device? We'll see what we can suggest /AP,hi can t use spotify connect speaker shows in device list selecting it does nothing previously working still works on iphone my devices oneplus t android sonos play,Playback Problem,Auto
@SpotifyCares While I have you. I am also having a lot of trouble playing sonos through the Spotify app. All devices :-/,"@386800 Can you tell us more about what's happening? If you could DM us your account's email address, that’d also be great /MV https://t.co/ldFdZRiNAt",while i have you i am also having a lot of trouble playing sonos through the spotify app all devices,Playback Problem,Auto
Anyone else having issues with their @115888 account playing on someone else's device? Second time of late... https://t.co/8HkbuVbkos,"@357731 Hey Ken, help's here! Can you DM us your account's email address? We'll take a look backstage /JN https://t.co/ldFdZRiNAt",anyone else having issues with their account playing on someone else s device second time of late,Playback Problem,Auto
Why @115888 needs to sync volume between devices is beyond me. Either whisper-soft on laptop or full-blast on iPhone. Not useful.,"@365457 Hey Michael, thanks for the feedback – we appreciate it! We’ll get this passed onto the right team 💚 /RV",why needs to sync volume between devices is beyond me either whisper soft on laptop or full blast on iphone not useful,Device Sync,Auto
"@117153 hello, I had contracted the family plan, but I no longer have that plan and all my addresses are the same in all my devices","@319830 Hey Daniel, help's here! Can you DM us your account's email address? We'll check backstage /MO https://t.co/ldFdZRiNAt",hello i had contracted the family plan but i no longer have that plan and all my addresses are the same in all my devices,Device Sync,Auto
@SpotifyCares The unauthorized device logged out. I've since changed my passwords.,@379837 Can you DM us your account's email address or username? We'll check backstage /AN https://t.co/ldFdZRiNAt,the unauthorized device logged out i ve since changed my passwords,Login Issue,Auto
@SpotifyCares sorry for slow device. latest version of Spotify on iPhone 4s,@199771 Thanks. You can try to sort your playlists by recently added. More info here: https://t.co/5hjtm5AdqM. Let us know how it goes /AY,sorry for slow device latest version of spotify on iphone s,Device Sync,Auto
@SpotifyCares Yes I have tried re-installing the app and resetting the device.,"@182414 Is this happening over 3G/4G, WiFi, or both? Also, is this happening on all tracks or just some? /PL",yes i have tried re installing the app and resetting the device,Device Sync,Auto
@SpotifyCares Done! I actually noticed my community profile shows some wrong profile info tho. Any idea why it's not synced with my normal account info?,@324535 Hmm. Can you send us a screenshot of what you're seeing? We'll take a closer look /GT,done i actually noticed my community profile shows some wrong profile info tho any idea why it s not synced with my normal account info,Device Sync,Auto
"@SpotifyCares yes, same message every device/platforme, and i do not have them saved as local files. i'm using the songs from spotify directly",@371584 Thanks! Could you DM us your Spotify account's username or email address? We'll take a look under the hood /BH https://t.co/ldFdZRiNAt,yes same message every device platforme and i do not have them saved as local files i m using the songs from spotify directly,Playlist Issue,Auto
"@SpotifyCares Nope, no error message at all. I never restarting my device yet. Should I try it first?",@294294 Thanks for letting us know. Try restarting your device and keep us posted on the results /CB,nope no error message at all i never restarting my device yet should i try it first,Device Sync,Auto
I’m having serious issues with @115888 where random devices show up and take over my listening. Anyone else having issues?,"@330159 Hey Kyle, we'd love to help! Can you DM us your account's username or email address? We'll have a look /AG https://t.co/ldFdZRiNAt",i m having serious issues with where random devices show up and take over my listening anyone else having issues,Device Sync,Auto
@SpotifyCares I'm having issues syncing my devices. It's often taking hours before changes are synced across from my desktop app to iOS.,"@130782 Hey Mark, help's here! Can you try reinstalling the app on both devices? Just follow the steps here: https://t.co/vNY2SFD0tR. Let us know how it goes /PL",i m having issues syncing my devices it s often taking hours before changes are synced across from my desktop app to ios,Device Sync,Auto
"Hey @115888, fix your Android app. It's not properly syncing when I'm using Chromecast on the app.",@309783 Hi there! Can you let us know what device and version of Spotify you're using? We'll see what we can suggest /DR,hey fix your android app it s not properly syncing when i m using chromecast on the app,Device Sync,Auto
@116130 my web player has been stuck and not playing for 2 days. Logged out off all devices and back in. Still not working 😕 #help,"@229747 Hi James, help's here. What operating system and browser are you on? Does restarting your device help at all? /AY",my web player has been stuck and not playing for days logged out off all devices and back in still not working help,Playback Problem,Auto
"@115888 #bugReport songs are prematurely ending. Somewhere between 50-90% of song plays, then next song starts without fade #iOS latest","@309307 Hey Jeff, help's here! Can you let us know your device and Spotify version? We'll see what we can suggest /JP",bugreport songs are prematurely ending somewhere between of song plays then next song starts without fade ios latest,Playlist Issue,Auto
@115888 Any update on the windows 7 update bug? I miss my playlists :[,@253498 Hey there! What's happening exactly? Can you DM us your account's username or email address? We'll check backstage /AP https://t.co/ldFdZRiNAt,any update on the windows update bug i miss my playlists,Playlist Issue,Auto
@SpotifyCares I've monitored the desktop experience and the problem hasn't gone away. It's a bug with your software. Is this a known issue?,@254907 Hmm. Could you send us a DM with your account's email address or username? We'll take a look backstage /DH https://t.co/ldFdZRiNAt,i ve monitored the desktop experience and the problem hasn t gone away it s a bug with your software is this a known issue,App Crash,Auto
"@115833 Hi! Playing @115888 playlists and often the next song is playing (see the time counting), but no sound. Any recent bugs? Tks!","@302024 Hi Patrik, help's arrived! Could you let us know what device or devices this is happening on? We'll be waiting for your reply /JQ",hi playing playlists and often the next song is playing see the time counting but no sound any recent bugs tks,Playlist Issue,Auto
Dear @SpotifyCares sometimes when I'm scrolling twitter my music pauses itself and then when I click play it plays super sped up . Is this a bug or am I accidentally clicking something ? The app is running in the background so I'm not sure it's a user error,"@150029 Hey Daniel, help's here! Can you let us know the device, operating system, and Spotify version you're using? We'll see what we can suggest /GK",dear sometimes when i m scrolling twitter my music pauses itself and then when i click play it plays super sped up is this a bug or am i accidentally clicking something the app is running in the background so i m not sure it s a user error,Playback Problem,Auto
"@SpotifyCares Hi, yes it freezes my computer so i have to reboot it. I cant run the app on my laptop at all. Do i need to reinstall it again?","@202846 Hmm. Let's narrow down the possible cause first. Are you getting any error messages? If so, can you send us a screenshot? /PB",hi yes it freezes my computer so i have to reboot it i cant run the app on my laptop at all do i need to reinstall it again,App Crash,Auto
@115888 Can't share anything since the update. Hitting share crashes the APP. -Google Pixel. Tried reinstalling.,"@289041 Hi John! Our best tech folks are on the case as we speak. Hopefully, we'll have a fix soon 🔍 /RR",can t share anything since the update hitting share crashes the app google pixel tried reinstalling,App Crash,Auto
"@SpotifyCares No, that didn't work. Still crashes the app.",@160564 Best thing to try here is a reinstall. Just follow the steps at https://t.co/EqisDMwZAT. Feel free to keep us posted /AU,no that didn t work still crashes the app,App Crash,Auto
"@SpotifyCares hey guys, I can't share songs from the mobile app, just crashes. Pixel running Oreo, most recent Spotify release.",@380291 Hey Andrew! Our team is looking into this issue as we speak. Let us know if there is anything else we can do for you /TF,hey guys i can t share songs from the mobile app just crashes pixel running oreo most recent spotify release,Playlist Issue,Auto
@SpotifyCares No it's a downloaded playlist. It stops playing half way through the song. You can't skip forward or back then the app crashes,@175424 Can you send us the Song Link? Just tap the three dots &gt; Share &gt; Copy Link. We'll check things out /NG,no it s a downloaded playlist it stops playing half way through the song you can t skip forward or back then the app crashes,Playlist Issue,Auto
@SpotifyCares I’ve got a bug where I can’t see the download bar properly it seems like it appears too far up which is behind the top bar,"@259956 Hey there! Could you give us more info on what's happening exactly? What device, operating system, and app version are you running? /PB",i ve got a bug where i can t see the download bar properly it seems like it appears too far up which is behind the top bar,App Crash,Auto
@SpotifyCares are you guys aware that Spotify immediately crashes on Android 8.0 when using the share feature? #pleasefix #help #qatesting,"@378676 Hey there! Don't worry, we're on it. Our developers are looking into this, and we'll keep everyone updated. Keep rocking 🤘 /MQ",are you guys aware that spotify immediately crashes on android when using the share feature pleasefix help qatesting,App Crash,Auto
"@SpotifyCares Everything is up to date. Clearing the cache reduced the length of the freezes, but they still happen. Getting about 60-100 logged errors per freeze. Thanks!","@129423 Gotcha. Does logging out, restarting your device, and logging back in help at all? Let us know how it goes /JE",everything is up to date clearing the cache reduced the length of the freezes but they still happen getting about logged errors per freeze thanks,App Crash,Auto
My @115888 keeps crashing ffs,"@234673 Hey! Don’t worry, we can help. What’s happening exactly? Can you let us know the device/OS you’re using? We'll see what we can suggest /CO",my keeps crashing ffs,App Crash,Auto
"@SpotifyCares When I search for ""Dig That Crazy Christmas"" instead, and click on the link to the album in the table of results, the client does correctly take me to the album. I hope this bug report is clear enough, feel free to reach out to me if you need more info!","@247699 Hey Ryan, sorry for the delay! Can you try launching the song from this link: https://t.co/1xdGIszxAr, and see if you'll get the same error message? If you do, DM us your account's email address along with a screenshot of the error message you're getting so we can take a look /RR https://t.co/ldFdZRiNAt",when i search for dig that crazy christmas instead and click on the link to the album in the table of results the client does correctly take me to the album i hope this bug report is clear enough feel free to reach out to me if you need more info,App Crash,Auto
@SpotifyCares @115890 Groove Music quits &amp; redirect to Spotify. But the W10M App is a bugfest.. Any further Updates possible?,@115889 Hey there! That doesn't sound good. What's happening exactly? Can you let us know the app version you're using? /PB,groove music quits amp redirect to spotify but the w m app is a bugfest any further updates possible,Playback Problem,Auto
"@SpotifyCares Latest version, it only freezes when I play from the side menu on my ps4",@121073 Got it. Could you send us your account's email address or username via DM? We'll take a closer look /AY https://t.co/ldFdZRiNAt,latest version it only freezes when i play from the side menu on my ps,Playback Problem,Auto
"@SpotifyCares Hey gang, running Spotify 8.4.21.508 on Pixel running Oreo. Sharing a track crashes the app and dumps me at the home screen. Help!",@289717 Hey James! We're looking into this at the moment. Thanks for reporting /MA,hey gang running spotify on pixel running oreo sharing a track crashes the app and dumps me at the home screen help,App Crash,Auto
@SpotifyCares Not really. I’m not the only one with this issue in our network. Are there any debugging possibilities (e.g. logs) within the Spotify app?,"@160030 1: We're afraid we don't have any more info to share about that, but we've already let our team know it's something you'd like to see.",not really i m not the only one with this issue in our network are there any debugging possibilities e g logs within the spotify app,App Crash,Auto
@115888 sort this out! 9.99 a month for an app that freezes my entire phone... At the point of considering Google play😡 https://t.co/1V7cBviQpT,"@245691 Hey Robbie! That doesn't sound cool. Can you let us know the device, operating system, and Spotify version you're running? We'll see what we can suggest /KM",sort this out a month for an app that freezes my entire phone at the point of considering google play,Playback Problem,Auto
@117153 I want a refund for 2 months of charges to my FREE ACCOUNT. I have tried contacting Spotify numerous times now unfortunately,@349579 Hi Lauren! Can you DM us your account's username or email address? We'll take a look backstage /MC https://t.co/ldFdZRiNAt,i want a refund for months of charges to my free account i have tried contacting spotify numerous times now unfortunately,Refund Request,Escalate
"@SpotifyCares I think you have accidentally charged my card, please advise on refund.","@270313 Hey Katy, help's here! Could you DM us your account's email address and username? We'll take a look backstage /CG https://t.co/ldFdZRiNAt",i think you have accidentally charged my card please advise on refund,Premium Billing,Escalate
@SpotifyCares I was charged for Premium even though I cancelled a day before ny pay was due. Please cancel my premium and refund me,@223750 Hey Gideon! Could you send us a DM with your account's email address? We'll take a look backstage /FR https://t.co/ldFdZRiNAt,i was charged for premium even though i cancelled a day before ny pay was due please cancel my premium and refund me,Premium Billing,Escalate
@SpotifyCares why have I been charged on my latest phone bill for your premium service when my account says I'm on a basic account??? I'd like a refund please 👍,"@287144 Hey Heather, help's here! Could you DM us your account's email address and username? We'll take a look backstage /CG https://t.co/ldFdZRiNAt",why have i been charged on my latest phone bill for your premium service when my account says i m on a basic account i d like a refund please,Premium Billing,Escalate
@SpotifyCares y’all charging me for an account I don’t have I want a refund now,@144800 Thanks. You should receive an email from them shortly /AP,y all charging me for an account i don t have i want a refund now,Refund Request,Escalate
"@SpotifyCares I just signed up for your 1 year upfront payment plan, but now I want to switch to a family plan. How do I do that? Can I get a refund on the upfront payment?",@253689 Hi there! Can you DM us your account's email address or username? We'll take a look backstage /NQ https://t.co/ldFdZRiNAt,i just signed up for your year upfront payment plan but now i want to switch to a family plan how do i do that can i get a refund on the upfront payment,Premium Billing,Escalate
@SpotifyCares i canclld my acct n need to know how or what to do to get a refund on the payment taken out of acct today,"@335736 Hi there, we've replied to your DM! We'll continue assisting you there 🙂 /DQ",i canclld my acct n need to know how or what to do to get a refund on the payment taken out of acct today,Premium Billing,Escalate
"@SpotifyCares I have two pending payments of 4.99 on my visa prepaid card, chose the wrong option twice, need refund to get to pay 9.99",@367820 Hey there! Can you let us know your account's email address and username? We'll take a look backstage for you /JX,i have two pending payments of on my visa prepaid card chose the wrong option twice need refund to get to pay,Premium Billing,Escalate
"@SpotifyCares I was charged twice this month, how do I go about getting a refund?",@328741 Hey Maíra! Can you DM us your account's username or email address? We'll see what we can do /YM https://t.co/ldFdZRiNAt,i was charged twice this month how do i go about getting a refund,Premium Billing,Escalate
@SpotifyCares how do I get a refund on an accidental purchase of premium?,@293908 Hi! We've just sent you a bit more info over DM. We'll carry on helping out there /RB,how do i get a refund on an accidental purchase of premium,Premium Billing,Escalate
"@SpotifyCares A limit on # of songs I merely ""save"" to intend to stream later? Despite paying for Premium? Bad response. Try again, with the word ""refund""","@127639 2: We’d also love to see your vote, and hear your feedback on this idea: https://t.co/8OOl8B2i69 /KB",a limit on of songs i merely save to intend to stream later despite paying for premium bad response try again with the word refund,Premium Billing,Escalate
@SpotifyCares Invoice ID P039C2031A 10/2 Thanks. Refund as many months as you'd like to my PayPal account.. :),@181367 2: contains private information. Can you send it through DM instead? /AR,invoice id p c a thanks refund as many months as you d like to my paypal account,Refund Request,Escalate
@SpotifyCares when you wake up I'm going to need a refund,@202312 We've just sent a DM your way. Let's carry on chatting there /CE,when you wake up i m going to need a refund,Refund Request,Escalate
@115888 Submit evidence and other documents i gave up because that takes forever. But now i have already been charged. I need my refund,@370072 Hey there! Can you DM us your account's email address? We'll take a look /RB https://t.co/ldFdZRiNAt,submit evidence and other documents i gave up because that takes forever but now i have already been charged i need my refund,Premium Billing,Escalate
"@SpotifyCares Can I get help with a refund ? I don’t care if it cancels my premium, it hasn’t even been a day since the payment. Please help","@389453 Hey Daniel, we've just sent a DM your way. Let's carry on chatting there 🙂 /CG",can i get help with a refund i don t care if it cancels my premium it hasn t even been a day since the payment please help,Premium Billing,Escalate
@117153 i was charged twice when i tried to buy the student discount premium. i want a refund. i dont have premium it says,"@283175 Hi Kenji, help's arrived! Can you DM us your account's email address? We'll take a look backstage /DV https://t.co/ldFdZRiNAt",i was charged twice when i tried to buy the student discount premium i want a refund i dont have premium it says,Premium Billing,Escalate
@SpotifyCares what is a phone number I can reach you guys I need you to refund me my money you guys are charging me even though I’m part of a family plan,"@144115 Hey Kevin! We don't offer telephone support right now, but we can still help you here on Twitter. Not to worry, we've just sent a DM your way. Let's carry on chatting there /MT",what is a phone number i can reach you guys i need you to refund me my money you guys are charging me even though i m part of a family plan,Refund Request,Escalate
@SpotifyCares spent £15 making a family plan and received a message that you is experiencing issues will i get a refund in the meanwhile?,@341108 Hey Aaliyah! We've just sent a DM your way. Let's carry on chatting there /AN,spent making a family plan and received a message that you is experiencing issues will i get a refund in the meanwhile,Refund Request,Escalate
"@SpotifyCares Hey! I was charged twice for october since i signed up for the student rate, can i have a refund please!",@169552 Hey there! Can you DM us your account's email address? We'll take a look backstage /RB https://t.co/ldFdZRiNAt,hey i was charged twice for october since i signed up for the student rate can i have a refund please,Premium Billing,Escalate
@SpotifyCares proof that it has been cancelled https://t.co/Inf0KOVt6y,"@364588 2: using the ""Send a private message"" link below? /NQ /NQ https://t.co/ldFdZRiNAt",proof that it has been cancelled,Subscription Cancellation,Auto
@115888 I cancelled my Spotify premium and it's still charging me money. But I canceled it like a month ago.,"@293850 Hey there, that's not cool! Can you DM us your account's email address and username? We'll take a look backstage /JX",i cancelled my spotify premium and it s still charging me money but i canceled it like a month ago,Premium Billing,Escalate
"@117153 hello, I hope you can help me. I had Spotify premium on my old phone which came off my phone bill but I now have a new phone does that automatically cancel the account and I have to make a new 1 or will I still be getting charged?","@287148 Hey Jay, help's arrived! Can you shoot us a DM with your account's username and email address? We'll take a look backstage to see what's going on /DI https://t.co/ldFdZRiNAt",hello i hope you can help me i had spotify premium on my old phone which came off my phone bill but i now have a new phone does that automatically cancel the account and i have to make a new or will i still be getting charged,Premium Billing,Escalate
@spotifycares i got charged this month but i cancelled my premium a while ago.. who can i contact to get a refund?,"@267844 Hey, help's here! Could you send us a DM with your account's email address or username? We'll take a look backstage /CO https://t.co/ldFdZRiNAt",i got charged this month but i cancelled my premium a while ago who can i contact to get a refund,Premium Billing,Escalate
@SpotifyCares have received an email welcoming me to spotify - but i haven't signed up to anything. please contact me to cancel,@284769 Hey there! That doesn't sound good. Can you DM us the email including the name of the sender? We'll take a look backstage /PB https://t.co/ldFdZRiNAt,have received an email welcoming me to spotify but i haven t signed up to anything please contact me to cancel,Account Access,Escalate
@SpotifyCares. Set up family premium. put wrong address. canceled. now can't set up new account w my email address. U make me pay? Help!,"@118533 Hey Michael, help's here! Can you DM us your account's email address? We'll take a look backstage /KC https://t.co/ldFdZRiNAt",set up family premium put wrong address canceled now can t set up new account w my email address u make me pay help,Premium Billing,Escalate
@SpotifyCares I talked to 2 people and both ain’t know how to help so the subscription canceled,"@209250 We understand where you're coming from. Just to check, did you contact us via email before, or was it through Twitter/Facebook? /AG",i talked to people and both ain t know how to help so the subscription canceled,Premium Billing,Escalate
"@115888 Why the hell has update logged me out, cannot remember my log in details. Just gonna cancel my direct debit as cannot be arsed.","@130353 Hey there! Don't worry, we can help. Can you DM us your account's email address or username? We'll see what we can suggest /PB https://t.co/ldFdZRiNAt",why the hell has update logged me out cannot remember my log in details just gonna cancel my direct debit as cannot be arsed,Login Issue,Auto
@SpotifyCares Your refusal to allow explicit filtering = my refusal to use your service #appdeleted #cancelspotify,"@221676 Hi David! We hear you loud and clear. Rest assured, your feedback will be passed on to the right folks /JI",your refusal to allow explicit filtering my refusal to use your service appdeleted cancelspotify,Subscription Cancellation,Auto
"@SpotifyCares 2/ when I register via my Vodafone Contract, will my playlists stay intact &amp; my current payment cancel?","@179081 Hi Lucy, help's here! Can you DM us your account's email address or username? We'll take a look backstage /GT https://t.co/ldFdZRiNAt",when i register via my vodafone contract will my playlists stay intact amp my current payment cancel,Premium Billing,Escalate
@SpotifyCares I need help canceling a account but I can’t remember the email address,@136864 We've just sent a DM your way. Let's carry on chatting there /CG,i need help canceling a account but i can t remember the email address,Account Access,Escalate
@115888 if my music pauses one more god damn time on it's own I'm cancelling,"@196642 Hey there! Don't give up on us yet. What device, operating system, and Spotify version are you using? We'll help out /MV",if my music pauses one more god damn time on it s own i m cancelling,Playback Problem,Auto
"@116130 I recently tried to cancel my premium account but found I could not because you are telling me I am on your free service, explain",@296786 Hi there! Can you DM us your account's email address? We'll have a look backstage /ST https://t.co/ldFdZRiNAt,i recently tried to cancel my premium account but found i could not because you are telling me i am on your free service explain,Premium Billing,Escalate
2 @SpotifyCares can you help me out before I just cancel my subscription b/c this is continually occurring.,@190020 Hey there! We'll help out. Can you DM us your account's email address? We'll take a look under the hood /AN https://t.co/ldFdZRiNAt,can you help me out before i just cancel my subscription b c this is continually occurring,Premium Billing,Escalate
"@115888 cancelled my account in AUGUST and I'm still getting charged in NOVEMBER, I suggest you fix this issue ASAP 😡😡😡",@285651 Hi there! Can you DM us your account's username or any email addresses you have? We'll take a look backstage /MC https://t.co/ldFdZRiNAt,cancelled my account in august and i m still getting charged in november i suggest you fix this issue asap,Premium Billing,Escalate
"@SpotifyCares Hey, I'm currently buying premium per month, but want the yearly subscription offer you're doing. Do I need to cancel my subscription then resubscribe to do this?",@249290 2: subscription. The payment for the 1 year subscription should take affect on your next renewal date. We hope this clears things up. Let us know if you have any other questions /LM,hey i m currently buying premium per month but want the yearly subscription offer you re doing do i need to cancel my subscription then resubscribe to do this,Premium Billing,Escalate
@SpotifyCares why 😣 ....all I am trying to do is log. Reset my pw 3 times. Please I dnt want to cancel.,"@307941 Hi Lucy. Don't worry, help's here. Can you DM us your username or email address so we can check? /JU https://t.co/ldFdZRiNAt",why all i am trying to do is log reset my pw times please i dnt want to cancel,Subscription Cancellation,Auto
"@115888 hey i need to cancel my account nut cant remember any of my passwords name is Millie Gorry in New Zealand , can you please sort and cancel thanks",@254418 Hi there! Can you DM us your account's email address? We'll take a look backstage /NQ https://t.co/ldFdZRiNAt,hey i need to cancel my account nut cant remember any of my passwords name is millie gorry in new zealand can you please sort and cancel thanks,Login Issue,Auto
@115888 is there a way to reapply for the student discount without canceling your premium account and starting over?,"@267837 Hey Erin, help's arrived! There's no need to cancel and start over. If you're already rocking out to Premium, you can reapply for the discount without losing that impressive music catalog. Head over to https://t.co/pFeBZLq1cj to get things going. Keep us updated /DI",is there a way to reapply for the student discount without canceling your premium account and starting over,Premium Billing,Escalate
@115888 how do I cancel from my Android phone.,@227730 Hi Rob! Could you send us a DM with your account's username or email address? We'll take a look backstage /HC https://t.co/ldFdZRiNAt,how do i cancel from my android phone,Subscription Cancellation,Auto
